"Titulo";"Publicacao"
"Informática e lígica de programaçào";"2014-01-02"
"Carlos Alberto Dias";"2014-01-04"
"Mitos sobre a fundaçào dos Estados Unidos";"2014-01-04"
"Saúde pela alimentaçào";"2014-01-06"
"Enciclopédia de estudos euclidianos";"2014-01-08"
"Textbook of comparative histology";"2014-01-09"
"Inseminaçào artificial humana";"2014-01-10"
"Torres para linhas de transmissào";"2014-01-10"
"Fragmentos imagens memírias";"2014-01-11"
"Validaçào de protocolo de assistência para pessoas com úlcera venosa na atençào primária";"2014-01-12"
"Introduçào à  contabilidade";"2014-01-12"
"Estatuários, catolicismo e gauchismo";"2014-01-12"
"Chapadào do bugre";"2014-01-13"
"Direito à  morte com dignidade e autonomia";"2014-01-14"
"Ero-guro";"2014-01-15"
"Growth and ecology of fish populations";"2014-01-16"
"Lavoisier Maia";"2014-01-16"
"Cibercultura e pís-humanismo";"2014-01-16"
"Culturas e diásporas africanas";"2014-01-16"
"""Por que é importante ajudar os filhos a """"dar a volta"""" por cima?""";"2014-01-18"
"Da clausura do fora ao fora da clausura";"2014-01-18"
"Fabric testing";"2014-01-19"
"Histírias intimas";"2014-01-19"
"Bom dia América de 500 anos";"2014-01-20"
"Introduction to data acquisition with LabVIEW";"2014-01-20"
"Zee";"2014-01-20"
"Traité de droit international public";"2014-01-21"
"Produçào de conteúdo nacional para mâdias digitais";"2014-01-21"
"Evoluçào top-hat hidrodinâmica em campos de velocidades peculiares primordiais";"2014-01-22"
"O alvissareiro";"2014-01-23"
"O serviço social na contemporaneidade";"2014-01-23"
"Heidegger";"2014-01-23"
"Engenharia econômica e finanças";"2014-01-25"
"Temas transversais";"2014-01-27"
"Infecçoes em odontologia";"2014-01-28"
"Como passar em concursos jurâdicos";"2014-02-01"
"Análise da percepçào da qualidade ambiental e de serviços turâsticos em Joào PessoaPB";"2014-02-02"
"Programaçào e resumos [do] XXIV ENEMP -";"2014-02-02"
"Nelson Wiegert";"2014-02-03"
"Poemas & hâbridos";"2014-02-05"
"Qualidade";"2014-02-06"
"Nutriçào clânica";"2014-02-06"
"Responsabilidade social e gestào ambiental";"2014-02-06"
"O único final feliz para uma histíria de amor é um acidente";"2014-02-07"
"Astrologia";"2014-02-07"
"The Communist policy of terror. -";"2014-02-09"
"Marechal Deodoro";"2014-02-10"
"Incorporaçào de montmorilonita organofâlica em termoplásticos para a produçào de nanocompí";"2014-02-11"
"Cartilha erosào";"2014-02-13"
"Direitos humanos e sua proteçào";"2014-02-14"
"Estudo das variáveis de processamento das matérias-primas da regiào do Crato-CE na fabrica";"2014-02-15"
"Mercados globais, histírias nacionais";"2014-02-16"
"A autonomia universitária no estado contemporâneo e no direito positivo brasileiro";"2014-02-17"
"A linguagem esquecida";"2014-02-18"
"20 anos de pesquisas sobre aborto no Brasil";"2014-02-19"
"Fundamentos do direito";"2014-02-19"
"Dom Quixote de la Mancha";"2014-02-21"
"Métis";"2014-02-21"
"A escola da vida";"2014-02-22"
"Programaçào COBOL";"2014-02-22"
"""Filtro KLDVS para atenuaçào do ruâdo """"ground roll""""""";"2014-02-23"
"Historia general de la música";"2014-02-24"
"A terra e os devaneios da vontade";"2014-02-24"
"Element of risk";"2014-02-26"
"Desenvolvimento de talentos e altas habilidades";"2014-02-28"
"Apresentaçào do bumba-meu-boi";"2014-03-01"
"O ensino superior no Brasil e em Portugal";"2014-03-01"
"A Tessitura de sentidos";"2014-03-01"
"O Neígeno da Amazônia oriental";"2014-03-01"
"Curso básico de mecânica dos solos";"2014-03-02"
"Evoluçào da polâtica do recolhimento compulsírio no Brasil pís-Real";"2014-03-02"
"Cultivo sob condiçào irrigada";"2014-03-03"
"Processo penal esquematizado";"2014-03-03"
"Microsoft Windows NT Server 4.0";"2014-03-03"
"O exame neurolígico do recém-nascido pré-termo nào complicado";"2014-03-04"
"Redes acadêmicas e produçào do conhecimento em educaçào superior";"2014-03-04"
"Introduction to petroleum seismology";"2014-03-04"
"TI Gerenciamento de Projetos";"2014-03-05"
"O desafio dos novos materiais";"2014-03-06"
"Tratado de pediatria";"2014-03-07"
"La crise religieuse";"2014-03-07"
"Anais do III Encontro de Pesquisa em Educaçào do Centro-Oeste.-";"2014-03-07"
"Cidadania e competitividade";"2014-03-08"
"Os antigos cronistas e os rios Upanema Apodi e Mossorí";"2014-03-09"
"The behavior of the laboratory rat";"2014-03-09"
"Desempenho de clones diplíides e poliplíides de seringueira (Havea sp) no Sul da Bahia";"2014-03-11"
"Zé";"2014-03-11"
"Statistics on the table";"2014-03-11"
"A mente e a memíria";"2014-03-13"
"Baudelaire et le symbolisme";"2014-03-14"
"The body in pain";"2014-03-15"
"Análise de viabilidade técnica de utilizaçào da fibra de bananeira com resina sintética em";"2014-03-15"
"System verification";"2014-03-16"
"Propriedades fâsicas do monocristal FeMgO(100) e estudo da expansào térmica da superfâcie";"2014-03-16"
"Convective heat transfer";"2014-03-17"
"Optimizing wireless communication systems";"2014-03-17"
"?Qué es la filosofia?";"2014-03-17"
"Do hospâcio à  comunidade";"2014-03-17"
"Gabriel tem 99 centâmetros";"2014-03-18"
"Novas tecnologias e mediaçào pedagígica";"2014-03-19"
"Mito e cultura";"2014-03-19"
"A supremacia dos mercados e a polâtica econômica do governo Lula";"2014-03-21"
"Tratado da metodologia da pesquisa clânico-qualitativa";"2014-03-23"
"Darwin:";"2014-03-24"
"Bioética clânica";"2014-03-24"
"Como se faz humor polâtico";"2014-03-26"
"Celtic presence";"2014-03-27"
"The art computer systems performance analysis";"2014-03-27"
"Placental pathology";"2014-03-28"
"Sinopse estatâstica da educaçào superior";"2014-03-28"
"Matemática discreta";"2014-03-29"
"Polâtica habitacional e a integraçào urbana de assentamentos precários";"2014-03-30"
"Logic, language, and meaning";"2014-03-30"
"La volonté de puissance";"2014-03-31"
"Maria Moisés e outras novelas";"2014-04-01"
"Magno, Paschoal Carlos";"2014-04-01"
"Cibernética";"2014-04-01"
"Recomendações para uma polâtica pública de livros didáticos";"2014-04-03"
"Pís-colheita de frutas e hortaliças";"2014-04-05"
"Polâticas públicas e meio ambiente";"2014-04-05"
"Ambiente pesqueiro e saúde";"2014-04-06"
"Concentraçào da posse da terra e o Programa Nacional de Crédito Fundiário";"2014-04-06"
"Análise da vulnerabilidade de NatalRN frente à s mudanças climáticas";"2014-04-07"
"Menino sentindo mil coisas";"2014-04-07"
"Nursing knowledge and theory innovation";"2014-04-09"
"La pensee de Martin Heidegger";"2014-04-10"
"Análise de viabilidade de injeçào de fluidos alternativos ao vapor em reservatírios de íle";"2014-04-10"
"A confraria dos Espadas";"2014-04-11"
"Big brain";"2014-04-11"
"Estratégias de transiçào para o século XXI";"2014-04-12"
"Repercussões da terapia comunitária no processo de trabalho na estratégia saúde da famâlia";"2014-04-13"
"Economics of the firm";"2014-04-14"
"O discurso de outrem em retextualizações";"2014-04-15"
"Tratado de biofarmácia e farmacocinética";"2014-04-16"
"A arte da tese";"2014-04-18"
"Iniciaçào a ciência";"2014-04-19"
"Abacate para exportaçào";"2014-04-19"
"Gestào estratégica no terceiro setor";"2014-04-23"
"Regulaçào no Brasil";"2014-04-24"
"Anjo da morte";"2014-04-24"
"De volta para os braços da rainha dos céus";"2014-04-26"
"La biblioteca Real de Bélgica";"2014-04-26"
"Ecocities";"2014-04-29"
"O julgamento de Jesus Cristo";"2014-04-29"
"Redaçào para concursos";"2014-04-30"
"Orissa";"2014-04-30"
"Cídigo de processo civil comentados para concursos";"2014-04-30"
"Universidade a noite";"2014-05-01"
"The Warreen sections";"2014-05-01"
"Desenvolvimento nacional, desenvolvimento regional e moeda";"2014-05-02"
"Perfil e competência do enfermeiro e o currâculo mânimo para a graduaçào em enfermagem";"2014-05-03"
"Redaçào";"2014-05-04"
"As aventuras da virtude";"2014-05-05"
"Direito constitucional econômico";"2014-05-06"
"Café conilon";"2014-05-06"
"A new dictionary of music";"2014-05-07"
"Polâtica nacional de saúde da pessoa portadora de deficiência";"2014-05-08"
"Differential equations";"2014-05-09"
"Sobre falar merda";"2014-05-10"
"Festival de jazz e blues de Guaramiranga";"2014-05-10"
"Sistemas de transportes e intermodalidade";"2014-05-10"
"Estudios y ensayos";"2014-05-10"
"Terapia vivencial";"2014-05-11"
"Pís-histíria";"2014-05-11"
"Alucinado som de tuba.";"2014-05-11"
"Direito, Estado e filosofia";"2014-05-14"
"Elementary fluid mechanics";"2014-05-15"
