"Nome";"Qtd_Publicacao"
"AADNOY, Bernt";161
"ABBASCHIAN,  R";156
"ABE, Jair Minoro";141
"ABRAHAM, Martin A";134
"ABRAMCZUK, André A.";146
"ABRAMOVAY, Ricardo";160
"ABREU, Antônio Suárez";160
"ABUNAHMAN, Sérgio Antonio";141
"ACEVEDO MARIN, Rosa Elizabeth";131
"ACEVEDO, Claudia Rosa";126
"AENGEL, Yunus A";119
"AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA BRASIL";141
"AGOSTINHO,  Oswaldo  Luiz";152
"AKABANE, Getulio K.";154
"ALBANO, Ricardo Sonaglio";130
"ALBERGUINI, Leny Borghesan A";155
"ALBERTIN, Alberto Luiz";146
"ALBERTS, Bruce";164
"ALEKSEEV, Vladimir Nikolaevich";131
"ALENCAR FILHO, Edgard De";154
"ALEXANDER, Charles K";135
"ALEXÉEV, Michael V.";126
"ALLEN, P. A";135
"ALLINGER, Norman L (et al)";142
"ALMEIDA, Alfredo Wagner Berno De";109
"ALMEIDA, Fernando José De";136
"ALMEIDA, Jalcione";145
"ALMEIDA, Márcio De Souza S. De";137
"ALMEIDA, Rogério Henrique";151
"ALMEIDA, Salvador Luiz De";142
"ALONSO,  Marcelo";156
"ALRO, Helle";154
"ALTMANN, Wolfgang";136
"ALVARENGA, Beatriz Gonçalves De";148
"ALVES, Adilson Francelino";144
"ALVES, José Jerônimo De Alencar";161
"ALVES, Rubem";155
"ALVES, William Pereira";111
"AMABIS, José Mariano";146
"AMADO, Nélia";141
"AMALDI, U";169
"AMARAL FILHO, Jair Do";143
"AMARAL, Adriano Benayon Do";144
"AMARAL, Luciano Do";137
"ASTOLFI,  Jean-pierre";157
"ATKINS,  P.  W";149
"ÁVILA,  Geraldo";122
"AZEVEDO, Gustavo H. W. De";157
"BABBITT, Harold E";130
"BACCAN, Nivaldo";142
"BACHELARD, Gaston";130
"BALBO, José Tadeu";145
"BALTAR, Carlos Adolpho Magalhães";135
"BARANENKOV, G. S";144
"BARATA, Ronaldo";140
"BARBALHO, Jader";147
"BARBETTA, Pedro Alberto";130
"BARBOSA,  Ruy  Madsen";124
"BARBOSA, Addson Lourenço";135
"BARBOSA, Estêvão José Da Silva";157
"BARBOSA, João Lucas Marques";141
"BARCELOS NETO, João";163
"BARDÁLEZ  HOYOS,  Juan  L";142
"BARISON, Thiago";152
"BARP, Wilson José";145
"BARROS NETO, Benício De";144
"BARROS, Benjamim Ferreira De";157
"BARROS, Carlos";121
"BARROS, Maria Vitória Martins";142
"BARROS, Regina Mambeli";167
"BARROSO, Leônidas Conceição.";133
"BARSANO, Paulo Roberto";171
"BARTHÉLEMY, Georges";0
"BARTHOLOMEU, Daniela Bacchi";0
"BASSALO, J. M";0
"BASSANEZI, Rodney Carlos";0
"BASTOS, Lília Da Rocha";0
"BATEMAN,  Thomas  S";0
"BATISTA, Emerson De Oliveira";0
"BATSCHELET, Edward";0
"BAUER,  L.  A.  Falcío";0
"BAUER, Christian";0
"BAUER, W";0
"BAZZO, Walter Antonio";0
"BECKER, Bertha K";0
"BELOUSOV, V. V.";0
"BELTRÃO,  Jane  Felipe";0
"BELTRÃO, Jimena Felipe";0
"BENITE, Anderson Glauco";0
"BENJAMIN, Walter";0
"BENNETT, C. O";0
"BENSAUDE-VINCENT, Bernadette";0
"Benson, Phil";0
"BENYON, David";0
"BEQUETTE, B. Wayne";0
"BERGAMASCO, Sônia Maria";0
"BERNARDI, Luiz Antonio";0
"BERNUCCI, Liedi Légi Bariani";0
"BERTALANFFY, Ludwig Von";0
"BERTUCCI, Janete Lara De Oliveira";0
"BEST, Myron G.";0
"BEZERRA, Eduardo";0
"BHATTACHARYA, P. B";0
"BICUDO, Maria Aparecida Viggiani";0
"JACINTO, Cristiane Pinheiro Santos";0
"JACKSON, John David";0
"JANKAUSKIS, Juris";0
"JANNUZZI, Gilberta";0
"JARDINE, A. K. S";0
"JATENE, Simão Robison";0
"JEWETT, John W";0
"John C. Kotz, Paul M. Treichel, Gabriela C. Weaver";0
"JOHNSON, George";0
"JOLY, Fernand";0
"JONES, Edward";0
"JURAN, J. M.";0
"JUSTI, Alexander Rodrigues";0
"JUVINALL, Robert C";0
"LIMA, Elon Lages";0
"LIMA, José Moura";0
"LIMA, Manolita Correia";0
"LIMA, Silvio De Souza";0
"MACINTYRE, Archibald Joseph";0
"MACKENZIE, W. S";0
"MAIA, Nelson B.";0
"MAIO, Waldemar De";0
"MARX, Karl";0
"MASON, Brian Harold";0
"MATEUS, Alfredo Luis";0
"MUNIZ, Cristiano Alberto";0
"NACARATO, Adair Mendes";0
"NADER, Paulo";0
"NAGLE, R. Kent";0
"NAHVI, Mahmood";0
"NAKAMURA, Emilio Tissato";0
"NARDI, Roberto";0
"NESSE, William D.";0
"NEVES, David Pereira";0
"NEVES, Delma Pessanha";0
"PACHECO,  Peter  S.";0
"PACHECO, Pablo";0
"PADILHA, Angelo Fernando";0
"PAES, J. Lima.";0
"PAGGIOLI, Sergio Rocha";0
"PAGIOLA, Stefano";0
"PAGLIA, Adriano Pereira";0
"PEREIRA, Geraldo Magela";0
"PEREIRA, José Almir Rodrigues";0
"REITZ, John R";0
"RENAUD, Paul E.";0
"RESENDE, Rosangela Maria Simeão";0
"RESNICK, Robert";0
"SILBERSCHATZ, Abraham";0
"SILVA,  Naura  Syria  Ferreira  Corrêa  Da";0
"SILVA,  Nelson  Peres  Da";0
"SILVA,  Valdir  Vilmar  Da";0
"SILVA, André Luiz V. Da Costa E";0
"SILVA, Cassio Roberto Da";0
"VAHID, Frank";0
"VAINSENCHER,  Israel";0
"VAITSMAN, Enilce Pereira";0
"VALENTE, Wagner Rodrigues";0
"VALERIANO, Dalton L.";0
"VALLADARES, Renato Jose Da Costa";0
"VALLE,  José  Ângelo  Santos  Do";0
"VAN LENGEN, Johan";0
"VAN VALKENBURGH, NOOGER & NEVILLE";0
"YOUNG, Hungh D";0
